Species,Percent_US_Households_Owning,Millions_US_Households_Owning
Dogs,45.5,59.8M
Cats,32.1,42.2M
Fish,2.9,3.9M
Reptiles,1.8,2.3M
Birds,1.6,2.1M
"Small mammals (gerbils, hamsters, etc.)",1.0,1.3M
Rabbits,0.7,0.9M
Horses,0.5,0.7M
Poultry,0.5,0.7M
